Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,100u,
"C2, C5, C6, C7",DualFootprint_C1206_Radial,4,0.1u,
C3,DualFootprint_C1206_Radial,1,0.33u,
C4,CP_Radial_D5.0mm_P2.00mm,1,50u,
D1,D_DO-41_SOD81_SOD123_P10.16mm_Horizontal,1,1N5819,
"D2, D3, D4, D5, D6",D_DO-41_SOD81_SOD123_P10.16mm_Horizontal,5,1N4005,
"D7, D8",LED_D5.0mm,2,LED,
F1,Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal,1,Fuse,
F2,1210,1,Fuse,
J1,PinHeader_1x08_P2.54mm_Vertical,1,Keyboard,
"J2, J5, J6",PinHeader_1x06_P2.54mm_Vertical,3,SD-Card Reader,
J3,PinHeader_1x16_P2.54mm_Vertical,1,LCD Display,
J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,PowerConnector,
M1,PinHeader_1x04_P2.54mm_Vertical,1,Fan_4pin,
Q1,TO-220-3_Vertical,1,IRF9540N,
Q2,TO-92_Dual,1,BC547,
Q3,TO-92_Dual,1,PN2222A,
"R1, R2",DualFootprint_R1206_Axial7.62,2,10K,
R10,DualFootprint_R1206_Axial7.62,1,4K7,
R3,DualFootprint_R1206_Axial7.62,1,1K,
R4,DualFootprint_R1206_Axial7.62,1,6K8,
"R5, R6, R7, R8",Potentiometer_Bourns_3296W_Vertical,4,10K,
R9,DualFootprint_R1206_Axial7.62,1,68K,
"TP1, TP2, TP3",PinHeader_1x01_P2.54mm_Vertical,3,GND,
TP4,PinHeader_1x01_P2.54mm_Vertical,1,12V FAN,
TP5,PinHeader_1x01_P2.54mm_Vertical,1,TM,
TP6,PinHeader_1x01_P2.54mm_Vertical,1,PWM,
TP7,PinHeader_1x01_P2.54mm_Vertical,1,5V,
U1,RPi_Pico_SMD_TH,1,Pico,
U2,TO-220-3_Vertical,1,LM7805,
