Designator,Mid X,Mid Y,Rotation,Layer
C1,161.265112,-117.97,0.0,top
C2,170.14,-76.92,270.0,top
C3,163.08,-76.86,270.0,top
C4,143.375112,-76.7,0.0,top
C5,141.07,-108.39,180.0,top
C6,124.32,-84.28,0.0,top
C7,113.92,-84.28,0.0,top
D1,166.49,-86.02,0.0,top
D2,97.81,-97.07,90.0,top
D3,133.56,-82.66,270.0,top
D4,126.06,-106.44,0.0,top
D5,125.94,-113.4,0.0,top
D6,150.59,-63.51,0.0,top
D7,141.055,-85.75,180.0,top
D8,178.53,-77.29,0.0,top
F1,161.09,-128.51,180.0,top
F2,161.09,-128.51,180.0,top
J1,136.305,-128.84,90.0,top
J2,163.0,-99.35,0.0,top
J3,88.9,-95.75,0.0,top
J4,176.51,-117.52,90.0,top
J5,171.23,-99.35,0.0,top
J6,179.667143,-99.35,0.0,top
M1,134.67,-66.39,270.0,top
Q1,105.88,-66.845,0.0,top
Q2,126.45,-77.049855,180.0,top
Q3,106.47,-81.799855,180.0,top
R1,116.02,-73.68,90.0,top
R10,135.22,-92.08,0.0,top
R2,105.69,-74.33,0.0,top
R3,119.68,-73.41,270.0,top
R4,141.15,-113.43,180.0,top
R5,97.73,-81.87,270.0,top
R6,97.49,-120.37,90.0,top
R7,123.06,-90.78,0.0,top
R8,112.55,-90.78,180.0,top
R9,178.83,-86.0,0.0,top
TP1,151.47,-77.67,0.0,top
TP2,151.47,-84.105,0.0,top
TP3,151.47,-90.54,0.0,top
TP4,151.46,-71.08,0.0,top
TP5,116.45,-63.1,0.0,top
TP6,124.47,-63.03,0.0,top
TP7,176.38,-67.5,0.0,top
U1,129.925,-109.94,90.0,top
U2,165.51,-66.875,0.0,top
